document_id,category_id,sort_order
1,13,0
4,13,0
14,7,0
15,7,0
18,4,0
19,4,0
20,4,0
21,4,0
26,4,0
27,4,0
32,16,0
33,16,0
46,16,0
48,12,0
49,12,0
50,12,0
56,12,0
57,12,0
58,12,0
59,12,0
60,12,0
61,12,0
62,12,0
63,12,0
64,12,0
65,12,0
66,12,0
68,12,0
69,12,0
70,12,0
71,12,0
72,12,0
74,12,0
75,12,0
76,12,0
77,12,0
78,12,0
79,12,0
80,12,0
82,12,0
83,12,0
84,12,0
85,12,0
86,12,0
87,12,0
88,12,0
89,12,0
90,12,0
91,12,0
93,12,0
94,12,0
97,12,0
98,29,0
99,29,0
100,29,0
103,29,0
104,29,0
105,29,0
106,29,0
108,29,0
109,29,0
111,29,0
112,29,0
114,29,0
115,29,0
117,29,0
119,29,0
120,29,0
121,29,0
122,29,0
123,29,0
124,29,0
125,29,0
126,29,0
127,29,0
128,29,0
129,29,0
130,29,0
131,29,0
133,29,0
134,29,0
135,35,0
135,29,0
138,29,0
140,29,0
141,29,0
142,29,0
143,29,0
144,29,0
145,29,0
146,29,0
147,29,0
148,29,0
149,29,0
150,29,0
151,29,0
153,29,0
154,29,0
155,29,0
156,29,0
157,29,0
159,29,0
160,35,0
160,29,0
161,16,0
162,16,0
164,16,0
165,16,0
166,16,0
167,16,0
170,13,0
175,16,0
175,39,0
177,16,0
177,39,0
178,16,0
179,16,0
179,39,0
181,16,0
181,39,0
183,16,0
183,39,0
185,16,0
185,39,0
187,16,0
187,39,0
189,16,0
189,39,0
191,16,0
191,39,0
193,16,0
193,39,0
196,16,0
196,39,0
197,16,0
197,39,0
199,16,0
199,39,0
201,16,0
201,39,0
215,16,0
215,39,0
217,16,0
217,39,0
219,16,0
219,39,0
221,16,0
221,39,0
224,16,0
224,39,0
225,16,0
225,39,0
227,16,0
227,39,0
229,16,0
229,39,0
231,16,0
231,39,0
233,16,0
233,39,0
234,16,0
234,39,0
236,16,0
236,39,0
237,16,0
237,39,0
239,16,0
239,39,0
240,16,0
240,39,0
241,12,0
241,29,0
244,12,0
244,29,0
245,41,0
246,41,0
247,41,0
248,41,0
249,16,0
249,39,0
250,16,0
250,39,0
251,39,0
252,39,0
253,39,0
254,22,0
254,39,0
255,22,0
255,39,0
256,22,0
256,39,0
257,22,0
257,39,0
261,39,0
262,16,0
262,39,0
262,15,0
263,16,0
263,39,0
263,15,0
264,36,0
266,39,0
267,39,0
269,39,0
270,36,0
271,39,0
272,39,0
273,39,0
274,18,0
274,47,0
275,18,0
275,47,0
280,29,0
285,29,0
286,15,0
289,35,0
290,35,0
291,35,0
292,35,0
293,35,0
294,35,0
295,35,0
296,35,0
297,16,0
298,16,0
299,16,0
328,16,0
335,44,0
336,44,0
337,16,0
338,16,0
340,15,0
342,16,0
343,16,0
345,16,0
346,16,0
347,16,0
350,16,0
351,16,0
355,16,0
358,16,0
359,16,0
361,16,0
362,16,0
363,16,0
366,16,0
367,16,0
369,16,0
371,16,0
372,16,0
373,16,0
375,16,0
377,16,0
378,16,0
379,16,0
380,16,0
381,16,0
382,16,0
383,16,0
386,16,0
387,16,0
388,20,0
391,20,0
392,20,0
393,20,0
394,16,0
394,20,0
396,16,0
398,16,0
400,16,0
401,16,0
402,16,0
405,16,0
406,16,0
408,16,0
409,16,0
416,16,0
417,16,0
418,56,0
419,10,0
420,16,0
421,16,0
422,56,0
423,2,0
424,51,0
428,15,0
429,16,0
431,16,0
432,16,0
434,16,0
435,15,0
436,16,0
437,51,0
439,15,0
440,16,0
441,16,0
442,16,0
443,16,0
445,15,0
446,16,0
449,16,0
451,16,0
452,15,0
453,16,0
454,51,0
456,15,0
459,16,0
460,16,0
461,16,0
462,16,0
463,16,0
464,16,0
465,16,0
467,16,0
468,16,0
469,16,0
471,16,0
472,16,0
473,16,0
475,16,0
476,16,0
477,16,0
478,16,0
479,16,0
483,16,0
484,20,0
485,15,0
486,16,0
488,16,0
490,16,0
491,16,0
492,16,0
494,16,0
496,16,0
497,16,0
499,16,0
500,16,0
501,16,0
502,16,0
503,16,0
504,16,0
506,16,0
507,16,0
509,16,0
510,16,0
512,16,0
513,16,0
515,16,0
516,16,0
517,35,0
519,35,0
520,16,0
521,16,0
523,15,0
524,16,0
525,16,0
526,16,0
528,16,0
529,16,0
532,2,0
533,16,0
534,16,0
535,16,0
536,16,0
537,16,0
538,16,0
539,16,0
541,56,0
542,56,0
543,56,0
544,56,0
545,56,0
546,56,0
547,16,0
549,16,0
550,16,0
551,16,0
552,16,0
553,16,0
554,16,0
555,16,0
557,16,0
559,16,0
560,16,0
562,16,0
563,16,0
565,16,0
566,16,0
567,16,0
569,16,0
570,16,0
572,16,0
573,16,0
575,16,0
576,16,0
577,16,0
578,16,0
581,2,0
582,2,0
583,16,0
584,16,0
585,16,0
586,16,0
587,16,0
589,16,0
590,16,0
594,2,0
598,2,0
602,2,0
605,2,0
606,2,0
608,16,0
610,16,0
611,16,0
613,16,0
614,16,0
616,16,0
618,16,0
620,16,0
622,41,0
626,16,0
627,16,0
628,16,0
629,16,0
631,16,0
634,16,0
636,16,0
637,16,0
638,16,0
641,16,0
642,16,0
643,16,0
644,16,0
645,16,0
647,16,0
648,16,0
649,15,0
651,16,0
652,16,0
653,16,0
655,16,0
656,16,0
657,16,0
659,16,0
661,16,0
663,16,0
664,16,0
666,16,0
668,16,0
669,58,0
672,58,0
677,58,0
678,58,0
679,58,0
680,58,0
681,58,0
682,58,0
683,58,0
684,58,0
685,58,0
686,58,0
687,58,0
688,58,0
689,58,0
690,58,0
691,58,0
694,58,0
695,58,0
696,58,0
697,58,0
699,58,0
700,58,0
701,58,0
702,58,0
703,58,0
704,58,0
705,58,0
706,58,0
707,58,0
708,58,0
709,58,0
710,58,0
711,58,0
712,58,0
716,58,0
717,58,0
718,58,0
719,58,0
720,58,0
721,58,0
722,58,0
723,58,0
724,58,0
726,58,0
727,58,0
728,58,0
729,58,0
730,58,0
731,58,0
732,58,0
733,58,0
734,58,0
735,56,0
736,56,0
739,56,0
740,58,0
741,56,0
744,58,0
748,58,0
751,58,0
753,58,0
754,58,0
755,58,0
756,58,0
757,58,0
759,58,0
760,58,0
765,58,0
768,58,0
769,58,0
770,58,0
771,58,0
774,58,0
775,58,0
776,58,0
778,58,0
779,58,0
780,58,0
781,58,0
783,58,0
784,58,0
785,58,0
786,58,0
787,58,0
788,58,0
790,58,0
791,58,0
792,58,0
793,58,0
794,58,0
795,58,0
796,58,0
797,58,0
798,58,0
800,58,0
801,58,0
802,58,0
804,58,0
806,58,0
808,58,0
811,58,0
813,58,0
815,58,0
818,58,0
820,58,0
822,58,0
824,58,0
826,58,0
828,58,0
829,58,0
831,58,0
833,58,0
836,58,0
842,58,0
843,58,0
844,58,0
845,58,0
846,58,0
847,58,0
848,58,0
849,58,0
850,58,0
851,58,0
852,58,0
853,58,0
855,58,0
856,58,0
857,58,0
858,58,0
859,58,0
862,58,0
863,58,0
864,58,0
866,58,0
867,58,0
868,58,0
869,58,0
871,58,0
872,32,0
873,58,0
875,58,0
876,58,0
877,58,0
896,58,0
897,58,0
898,15,0
903,68,0
905,68,0
906,4,0
908,44,0
914,48,0
916,39,0
918,56,0
919,3,0
921,3,0
929,39,0
930,35,0
932,48,0
933,48,0
934,48,0
936,48,0
937,48,0
938,48,0
939,48,0
940,48,0
941,48,0
942,48,0
943,48,0
944,48,0
945,48,0
946,16,0
947,35,0
948,16,0
