code,title,attachment_file_name,attachment_content_type,attachment_file_size,content_date,language_id,doc_attachment_type_id,inactive,creator_id,original_url,original_id,published_date,file_format,summary
5050A,"Schedule of available or realisable assets",5050a-eng.doc,application/msword,113152,2008-12-01,8,1,false,1,GetForm.do?court_forms_id=,2254,2017-04-12,DOC,
5050A,"Schedule of available or realisable assets",5050a-eng.pdf,application/pdf,51690,2008-12-01,8,1,false,1,GetForm.do?court_forms_id=,2256,2017-04-12,PDF,
5138,"Application for Extension of a Representation Order to More Than One Advocate, or to a QC Alone",5138-eng.doc,application/msword,271872,2014-04-01,8,1,false,1,GetForm.do?court_forms_id=,2250,2017-04-12,DOC,
5138,"Cais am ymestyn gorchymyn cynrychiolaeth i fwy nag un eiriolwr neu i CF yn unig (Rheoliad 18 o'r Rheoliadau Cymorth Cyfreithiol Troseddol (Penderfyniadau gan Lys a Dewis Cynrychiolydd) 2013 fel y'u diwygiwyd)",5138-cym.doc,application/msword,274944,2014-04-01,25,1,false,1,W_GetForm.do?court_forms_id=,2270,2017-04-12,DOC,
5222,"Your guide to Jury Service",5222-eng.pdf,application/pdf,195958,2016-10-01,8,4,false,1,GetLeaflet.do?court_leaflets_id=,908,2017-04-12,PDF,
5222,"Eich canllaw i Wasanaeth Rheithgor",5222-cym.pdf,application/pdf,216535,2015-02-01,25,2,false,1,W_GetLeaflet.do?court_leaflets_id=,1016,2017-04-12,PDF,
5222A,"Supporting you through Jury Service",5222a-eng.pdf,application/pdf,153457,2016-11-01,8,2,false,1,GetLeaflet.do?court_leaflets_id=,1029,2017-04-12,PDF,
5222A,"Yn gefn ichi Drwy'ch Gwasanaeth Rheithgor",5222a-cym.pdf,application/pdf,143219,2015-01-01,25,2,false,1,W_GetLeaflet.do?court_leaflets_id=,1029,2017-04-12,PDF,
A/E,"Your Guide to the Attachment of Earnings Act 1971",a-e-eng.pdf,application/pdf,180866,2014-11-01,8,4,false,1,GetLeaflet.do?court_leaflets_id=,14,2017-04-12,PDF,
A1,"Notice of [intention to proceed with] an application for a financial remedy (other than a financial order) in the county or High Court",a1-eng.pdf,application/pdf,332822,2014-04-01,8,1,false,1,GetForm.do?court_forms_id=,2600,2017-04-12,PDF,
A2,"Notice of [intention to proceed with] an application for a financial remedy in the magistrates' court",a2-eng.pdf,application/pdf,413491,2011-04-01,8,1,false,1,GetForm.do?court_forms_id=,2601,2017-04-12,PDF,
A4,"Application For Revocation Of An Order Freeing A Child For Adoption",a4-eng.pdf,application/pdf,34125,2001-06-01,8,1,false,1,GetForm.do?court_forms_id=,26,2017-04-12,PDF,
A5,"Application For Substitution Of One Adoption Agency For Another",a5-eng.pdf,application/pdf,76647,2002-05-01,8,1,false,1,GetForm.do?court_forms_id=,27,2017-04-12,PDF,
A20,"Adoption - A guide for family court users",a20-eng.pdf,application/pdf,449748,2016-11-01,8,4,false,1,GetLeaflet.do?court_leaflets_id=,18,2017-04-12,PDF,
A20,"Mabwysiadu: Canllaw i ddefnyddwyr y llys teulu",a20-cym.pdf,application/pdf,161927,2014-04-01,25,2,false,1,W_GetLeaflet.do?court_leaflets_id=,18,2017-04-12,PDF,
A20,"Mabwysiadu: Arweiniad i Ddefnyddwyr y Llysoedd. | Adoption: A Guide for Court Users",a20-bil.pdf,application/pdf,77228,2003-10-01,26,4,false,1,GetLeaflet.do?court_leaflets_id=,19,2017-04-12,PDF,
A20(1),"President's Intercountry Supplement",a20(1)-eng.pdf,application/pdf,49056,2008-11-01,8,2,false,1,GetLeaflet.do?court_leaflets_id=,20,2017-04-12,PDF,
A20(1),"Canolfannau Mabwysiadu Rhyngwladol - Arweiniad a gyhoeddwyd gan Lywydd yr Adran Deulu",a20(1)-cym.pdf,application/pdf,63777,2008-11-01,25,2,false,1,W_GetLeaflet.do?court_leaflets_id=,21,2017-04-12,PDF,
A21,"Intercountry adoption and the 1993 Hague Convention",a21-eng.pdf,application/pdf,406191,2016-11-01,8,2,false,1,GetLeaflet.do?court_leaflets_id=,999,2017-04-12,PDF,
A21,"Mabwysiadu Rhyng-wladol a Chytundeb yr Hag 1993",a21-cym.pdf,application/pdf,177276,2014-04-01,25,2,false,1,W_GetLeaflet.do?court_leaflets_id=,1002,2017-04-12,PDF,
A50,"Application for a placement order (Section 22 Adoption and Children Act 2002)",a50-eng.pdf,application/pdf,616096,2014-11-01,8,1,false,1,GetForm.do?court_forms_id=,1074,2017-04-12,PDF,
A50,"Cais am orchymyn lleoli. Adran 22 Deddf Mabwysiadu a Phlant 2002. | Application for a placement order Section 22 Adoption and Children Act 2002",a50-bil.pdf,application/pdf,309282,2011-04-01,26,1,false,1,GetForm.do?court_forms_id=,1272,2017-04-12,PDF,
A50 Nodiadau,"Cais am Orchymyn Lleoli (Ffurflen A50) Nodiadau ar lenwi'r ffurflen. | Application for a Placement Order (Form A50) Notes on completing the form",a50-nodiadau-bil.pdf,application/pdf,112182,2005-12-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1003,2017-04-12,PDF,
A50 Notes,"Application for a Placement Order (Form A50) - Notes on completing the form",a50-notes-eng.pdf,application/pdf,133430,2014-04-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,949,2017-04-12,PDF,
A51,"Application for variation of a placement order (Section 23 Adoption and Children Act 2002)",a51-eng.pdf,application/pdf,617447,2014-11-01,8,1,false,1,GetForm.do?court_forms_id=,1075,2017-04-12,PDF,
A51,"Cais i amrywio gorchymyn lleoli. Adran 23 Deddf Mabwysiadu a Phlant 2002. | Application for variation of a placement order Section 23 Adoption and Children Act 2002",a51-bil.pdf,application/pdf,278091,2011-04-01,26,1,false,1,GetForm.do?court_forms_id=,1134,2017-04-12,PDF,
A51 Nodiadau,"Cais i amrywio gorchymyn lleoli (Ffurflen 51) Nodiadau ar lenwi'r ffurflen. | Application for variation of a placement order (Form A51) Notes on completing the form",a51-nodiadau-bil.pdf,application/pdf,101066,2005-12-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1004,2017-04-12,PDF,
A51 Notes,"Application for variation of a placement order (Form A51) - Notes on completing the form",a51-notes-eng.pdf,application/pdf,107004,2014-04-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,950,2017-04-12,PDF,
A52,"Application for Revocation of a Placement Order - Section 24 Adoption and Children Act 2002",a52-eng.pdf,application/pdf,323721,2014-11-01,8,1,false,1,GetForm.do?court_forms_id=,1076,2017-04-12,PDF,
A52,"Cais am ddiddymu gorchymyn lleoli Adran 24 Deddf Mabwysiadu a Phlant 2002. | Application for revocation of a placement order Section 24 Adoption and Children Act 2002",a52-bil.pdf,application/pdf,260286,2011-04-01,26,1,false,1,GetForm.do?court_forms_id=,1135,2017-04-12,PDF,
A52 Nodiadau,"Cais am ddiddymu gorchymyn lleoli (Ffurflen 52). Nodiadau ar lenwi'r ffurflen. | Application for revocation of a placement order (Form 52). Notes on completing the form",a52-nodiadau-bil.pdf,application/pdf,199139,2011-04-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,978,2017-04-12,PDF,
A52 Notes,"Application for Revocation of a Placement Order (Form 52) - Notes on Completing the Form",a52-notes-eng.pdf,application/pdf,110051,2014-04-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,951,2017-04-12,PDF,
A53,"Application for a Contact Order (Section 26 Adoption and Children Act 2002 or an order for contact or prohibiting contact under section 51A of the Adoption and Children Act 2002)",a53-eng.pdf,application/pdf,612020,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1077,2017-04-12,PDF,
A53,"Cais am orchymyn cyswllt Adran 26 Deddf Mabwysiadu a Phlant 2002. | Application for a contact order Section 26 Adoption and Children Act 2002",a53-bil.pdf,application/pdf,284280,2011-04-01,26,1,false,1,GetForm.do?court_forms_id=,1136,2017-04-12,PDF,
A53 Nodiadau,"Cais am orchymyn cyswllt dan adran 26 Deddf Mabwysiadu a Phlant 2002 (Ffurflen A53). Nodiadau ar lenwi'r ffurflen. | Application for a contact order under section 26 of the Adoption and Children Act 2002 (Form A53). Notes on completing the form",a53-nodiadau-bil.pdf,application/pdf,203053,2011-04-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1005,2017-04-12,PDF,
A53 Notes,"Application for a Contact Order (Section 26 of the Adoption and Children Act 2002 or an order under section 51A of the Act) (Form A53). Notes on completing the form",a53-notes-eng.pdf,application/pdf,115201,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,952,2017-04-12,PDF,
A54,"Application for variation or revocation of a Contact Order (Section 27(1)(b) or Section 51B(1)(c) Adoption and Children Act 2002)",a54-eng.pdf,application/pdf,317093,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1078,2017-04-12,PDF,
A54,"Cais i amrywio neu ddiddymu gorchymyn cyswllt (Adran 27(1)(b) Deddf Mabwysiadu a Phlant 2002) | Application for variation or revocation of a contact order (Section 27(1)(b) Adoption and Children Act 2002)",a54-bil.pdf,application/pdf,311952,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,1137,2017-04-12,PDF,
A54 Nodiadau,"Cais i amrywio neu ddiddymu gorchymyn cyswllt a wnaed dan adran 26 Deddf Mabwysiadu a Phlant 2002 (Ffurflen A54) Nodiadau ar lenwi'r ffurflen. | Application for variation or revocation of a contact order made under section 26 of the Adoption and Children Act 2002 (Form A54) Notes on completing the form",a54-nodiadau-bil.pdf,application/pdf,106074,2005-12-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1006,2017-04-12,PDF,
A54 Notes,"Application for variation or revocation of a Contact Order (Section 27(1)(b) or Section 51B(1)(c) of the Adoption and Children Act 2002) (Form A54). Notes on completing the form",a54-notes-eng.pdf,application/pdf,214465,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,953,2017-04-12,PDF,
A55,"Application for permission to change a child's surname (Section 28 Adoption and Children Act 2002)",a55-eng.pdf,application/pdf,340449,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1079,2017-04-12,PDF,
A55,"Cais am ganiatad i newid cyfenw plentyn (Adran 28 Deddf Mabwysiadu a Phlant 2002) | Application for permission to change a child's surname (Section 28 Adoption and Children Act 2002)",a55-bil.pdf,application/pdf,269452,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,1138,2017-04-12,PDF,
A55 Nodiadau,"Cais am ganiat‚d i newid cyfenw plentyn (Ffurflen A55)Nodiadau ar lenwi'r ffurflen. | Application for permission to change a child's surname (Form A55)Notes on completing the form",a55-nodiadau-bil.pdf,application/pdf,100765,2005-12-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,979,2017-04-12,PDF,
A55 Notes,"Application for permission to change a child's surname (Form A55). Notes on completing the form",a55-notes-eng.pdf,application/pdf,214257,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,954,2017-04-12,PDF,
A56,"Application for permission to remove a child from the United Kingdom (Section 28 Adoption and Children Act 2002)",a56-eng.pdf,application/pdf,346384,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1080,2017-04-12,PDF,
A56,"Cais am ganiatad i symud plentyn o'r Deyrnas Unedig (Adran 28 Deddf Mabwysiadu a Phlant 2002) | Application for permission to remove a child from the United Kingdom (Section 28 Adoption and Children Act 2002)",a56-bil.pdf,application/pdf,237392,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,1139,2017-04-12,PDF,
A56 Nodiadau,"Cais am ganiat‚d i symud plentyn o'r Deyrnas Unedig (Ffurflen A56) Nodiadau ar lenwi'r ffurflen. | Application for permission to remove a child from the United Kingdom (Form A56) Notes on completing the form",a56-nodiadau-bil.pdf,application/pdf,103114,2005-12-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,980,2017-04-12,PDF,
A56 Notes,"Application for permission to remove a child from the United Kingdom (Form A56). Notes on completing the form",a56-notes-eng.pdf,application/pdf,219398,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,955,2017-04-12,PDF,
A57,"Application for a Recovery Order (Section 41 Adoption and Children Act 2002)",a57-eng.pdf,application/pdf,340420,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1081,2017-04-12,PDF,
A57,"Cais am orchymyn dychwelyd plentyn (Adran 41 Deddf Mabwysiadu a Phlant 2002) | Application for a recovery order (Section 41 Adoption and Children Act 2002)",a57-bil.pdf,application/pdf,259747,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,1140,2017-04-12,PDF,
A57 Nodiadau,"Cais am orchymyn dychwelyd plentyn (Ffurflen A57) Nodiadau ar lenwi'r ffurflen. | Application for a recovery order (Form A57) Notes on completing the form",a57-nodiadau-bil.pdf,application/pdf,113887,2005-12-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1007,2017-04-12,PDF,
A57 Notes,"Application for a Recovery Order (Form A57). Notes on completing the form",a57-notes-eng.pdf,application/pdf,229525,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,956,2017-04-12,PDF,
