court_leaflets_id,court_leaflets_num,court_leaflets_title,court_leaflets_type,court_leaflets_comment,court_leaflets_category,court_leaflets_download,court_leaflets_internal_flag,court_leaflets_url,court_leaflets_keywords,court_leaflets_format,court_leaflets_lastupdate,language_id,court_work_type_id
14,A/E,Your Guide to the Attachment of Earnings Act 1971 ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Attachment of Earnings ,1,0,ae-eng.pdf,NULL,(PDF 177KB),November 2014 ,5,NULL
15,Attachment Orders - A guide for employers,Attachment Orders - A guide for employers,Adobe Acrobat (pdf) ,Internet downloadable guidance,Attachment of Earnings,1,0,ao-employers-guide-eng.pdf,NULL,(PDF 629KB),August 2008,5,NULL
18,A20,Adoption - A Guide for Court Users ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a020-eng.pdf ,,(PDF 245KB),August 2014,5,0
19,A20,Mabwysiadu:Arweiniad i Ddefnyddwyr y Llysoedd. / Adoption:A Guide for Court Users.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a020-bil.pdf ,NULL,(PDF 77KB) ,October 2003,17,NULL
20,A20(1),President's Intercountry Supplement,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a020(1)-eng.pdf ,NULL,(PDF 132KB),November 2008 ,5,NULL
46,Attachment of Earnings Orders for criminal fines National Pilot April 2004,Attachment of Earnings Orders for Criminal Fines National Pilot - April 2004.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,attachment-earnings-mags-faq-eng.pdf ,NULL,(PDF 97KB) ,June 2004,5,NULL
76,C1A Nodiadau / C1A Notes,Nodiadau Canllaw ar gyfer Ffurflen Gwybodaeth Ychwanegol C1A. / Notes for Guidance for Supplemental Information Form C1A. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Children Act,1,0,c001a-notes-bil.pdf,NULL,(PDF 209KB),January 2005,17,NULL
77,C1A Notes,Notes for Guidance for Supplemental Information Form C1A,Adobe Acrobat (pdf) ,Internet downloadable guidance,Children Act,1,0,c001a-notes-eng.pdf,NULL,(PDF 234KB),January 2005,5,NULL
91,Case Management Information Sheet,Case Management Information Sheet,Microsoft Word (doc),Internet downloadable guidance,Children Act,1,0,cmis-eng.doc ,NULL,(Word 24KB),April 2005 ,5,NULL
93,CB1,Making an Application - Children and the Family Courts,Adobe Acrobat (pdf) ,Internet downloadable guidance,Children Act,1,0,cb001-eng.pdf,,(PDF 280KB),February 2015 ,5,0
94,CB2,Urgent Hearings and Those Without Notice in Relation to Child Arrangements,Adobe Acrobat (pdf) ,Internet downloadable guidance,Children Act,1,0,cb002-eng.pdf,NULL,(PDF 155KB),November 2014 ,5,NULL
97,CB3,Serving the Forms.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Children Act,1,0,cb003-eng.pdf,NULL,(PDF 424KB),April 2014 ,5,NULL
106,D183 ,About Divorce / Dissolution,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d183-eng.pdf ,NULL,(PDF 165KB),April 2014 ,5,NULL
109,D184 ,I Want to Get a Divorce / Dissolution.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d184-eng.pdf ,NULL,(PDF 168KB),April 2014 ,5,NULL
111,D185 ,Children and Divorce and Dissolution,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d185-eng.pdf ,NULL,(PDF 153KB),April 2014 ,5,NULL
115,D186 ,The Respondent Has Replied to My Petition. What Must I Do? ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d186-eng.pdf ,NULL,(PDF 229KB),April 2014 ,5,NULL
119,D187 ,I Have a Decree Nisi / Conditional Order.What Must I do Next?,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d187-eng.pdf ,NULL,(PDF 152KB),November 2015 ,5,NULL
120,D190 ,I Want to Apply for a Financial Order ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d190-eng.pdf ,NULL,(PDF 143KB),August 2015,5,NULL
134,D440 ,Request for Search for Divorce Decree Absolute ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d440-eng.pdf ,,(PDF 433KB),November 2014 ,5,0
140,D8 Notes,Supporting Notes for Guidance on Completing a Divorce / Dissolution / (Judicial) Separation Petition.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d008-notes-eng.pdf ,NULL,(PDF 182KB),April 2014 ,5,NULL
141,D8 Nodiadau / D8 Notes ,Nodiadau canllaw ar gyfer llenwi deiseb ysgaru/diddymu/ymwahanu (cyfreithiol). / Supporting notes for guidance on completing a divorce/dissolution/(judicial) separation petition. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,d008-notes-bil.pdf ,NULL,(PDF 169KB),April 2014 ,17,NULL
175,EX20 ,Paying your Judgment - What do I do?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex020-eng.pdf,NULL,(PDF 166KB),April 2013 ,5,NULL
177,EX20 ,Talu fy nyfarniad - Beth ddylwn i wneud? / Paying my judgment - What do I do?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex020-bil.pdf,NULL,(PDF 246KB),April 2006 ,17,NULL
178,N1A,Notes for Claimant on Completing a Claim Form,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n001a-eng.pdf,,(PDF 50KB) ,July 2014,5,0
179,EX301,I'm in a Dispute - What Can I Do? - For People Who Are in a Dispute ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex301-eng.pdf,,(PDF 222KB),June 2014,5,0
181,EX301,Yn gwneud hawliad? Ambell gwestiwn i chi ofyn i chi'ch hun. / Making a claim? - Some questions to ask yourself.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex301-bil.pdf,NULL,(PDF 274KB),April 2006 ,17,NULL
