id,english_name,welsh_name
1,Amharic,Amhareg
2,Arabic,Arabeg
3,Bengali,Bengali
4,Chinese (simplfied),Tseiniaidd (symleiddio)
5,Chinese (traditional),Tsieinëeg (traddodiadol)
6,Croatian,Croateg
7,Czech,Tsiec
8,English,Saesneg
9,Farsi,Farsi
10,French,Ffrangeg
11,Greek,Groeg
12,Gujarati,Gujarati
13,Hindi,Hindi
14,Kurdish,Kurdish
15,Polish,Pwyleg
16,Portuguese,Portiwgaleg
17,Punjabi,Punjabi
18,Serbian,Serbeg
19,Somali,Somalia
20,Spanish,Sbaeneg
21,Swahili,Swahili
22,Tigrigina,Tigrigna
23,Turkish,Turkish
24,Urdu,Urdu
25,Welsh,Cymraeg
26,Welsh / Bilingual,Cymraeg / Dwyieithog
